Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
481,3.0,0.8749,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['pandemi', 'corona', 'ancam', 'nasib', 'media', 'lokal']"
482,3.0,0.9326,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['info', 'gang', 'belah', 'rumah', 'lumajang', 'positif', 'covid', 'number', 'moga', 'keluarga', 'sana', 'aman']"
483,2.0,0.8749,"covid, number, repeated, jaga_jarak, kena, tangan, jaga, takut, orang, salam","['anis', 'main', 'tiktok', 'syukur', 'kena', 'covid']"
484,5.0,0.9619,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['bentuk', 'dukung', 'tim', 'medis', 'juang', 'hadap', 'merawatpasien', 'covid', 'number', 'allcaps', 'fpi', 'allcaps', 'salur', 'bantu', 'allcaps', 'apd', 'allcaps', 'makan', 'minum', 'nutrisi', 'tim', 'medis']"
485,3.0,0.8905,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['kasihan', 'korban', 'covid', 'number', 'mohon', 'wargavideo', 'number']"
486,4.0,0.9562,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['tolak', 'warga', 'jenazah', 'awat', 'tangan', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'rsup', 'allcaps', 'kariadi', 'semarang', 'lokasi', 'suwakul', 'ungar', 'video', 'number']"
487,5.0,0.9602,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['number', 'dampak', 'covid', 'number', 'kerjasama', 'number', 'kapasitas', 'awat', 'sehat', 'number', 'integrasi', 'bijak', 'bidang', 'sehat', 'ekonomi', 'makro', 'kerja', 'internasional', 'mitra', 'lintas', 'batas']"
488,4.0,0.5639,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['allcaps', 'putus', 'allcaps', 'yauntuk', 'putus', 'mata', 'rantai', 'allcaps', 'covid', 'allcaps', 'number', 'jaga', 'jarak', 'allcaps', 'masker', 'allcaps', 'rumahlindungi', 'diri', 'sekitar', 'jangkit', 'allcaps', 'covid', 'allcaps', 'number', 'mata_rantai', 'jaga_jarak', 'mata_rantai', 'mata_rantai', 'jaga_jarak']"
489,3.0,0.9485,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['banget', 'ngikutin', 'berita', 'covid', 'ruang', 'isolasi', 'enak', 'banget', 'astagfirullah', 'moga', 'virus', 'lenyap', 'bumi', 'ruang_isolasi', 'ruang_isolasi', 'ruang_isolasi']"
490,2.0,0.9326,"covid, number, repeated, jaga_jarak, kena, tangan, jaga, takut, orang, salam","['bal', 'kini', 'date', 'efek', 'global', 'covid', 'number', 'simak', 'lengkap', 'video', 'link', 'youtube']"
491,3.0,0.6214,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['covid', 'number', 'pulang', 'asal', 'repeated', 'smp', 'sabar', 'doa', 'moga', 'mudah', 'ustaz', 'fawwaz']"
492,5.0,0.9742,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['allcaps', 'hms', 'allcaps', 'itenas', 'peduli', 'pandemi', 'covid', 'number', 'hadir', 'prihatin', 'sosial', 'indonesia', 'keluarga', 'allcaps', 'hms', 'allcaps', 'itenas', 'bandung', 'turun', 'tangan', 'bantu', 'manusia', 'ayo', 'donasi', 'dukung', 'lengkap', 'medis', 'tenaga', 'sehat', 'allcaps', 'covid', 'allcaps', 'number']"
493,4.0,0.9485,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['kemenkeuri', 'dipungkiri', 'aktivitas', 'ekonomi', 'kian', 'tekan', 'akibat', 'covid', 'number', 'orang', 'hilang', 'kerja', 'hasil', 'perintah', 'susun', 'strategi']"
494,4.0,0.9687,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['kamis', 'malam', 'dunia', 'ketuk', 'pintu', 'langit', 'munajat', 'doa', 'repeated', 'mohon', 'sang', 'khaliq', 'repeated', 'rayu', 'sang', 'maha', 'dengar', 'repeated', 'sang', 'maha', 'adiluntuk', 'selamat', 'dunia', 'wabah', 'covid', 'nu', 'ku']"
495,4.0,0.5241,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['jumaat', 'rindu', 'solat', 'jumaat', 'mudah', 'an', 'covid', 'number', 'pergi', 'mudah', 'an', 'peperangan', 'menang']"
496,4.0,0.9687,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['warga', 'kabupaten', 'lampung', 'utara', 'nyata', 'positif', 'papar', 'covid', 'number', 'karantina', 'komplek', 'islamic', 'center', 'kotabumi', 'repeated', 'plt', 'bupati', 'budi', 'utomo', 'ketua', 'tim', 'gugus', 'tugas', 'tanggulang', 'gugus_tugas', 'gugus_tugas', 'gugus_tugas']"
497,5.0,0.9374,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['presiden', 'langkah', 'serius', 'hadap', 'pandemi', 'covid', 'number', 'bom', 'orang', 'indonesia', 'diyerima', 'dunia', 'internasional']"
498,6.0,0.965,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['korban', 'allcaps', 'phk', 'allcaps', 'rumah', 'akibat', 'sebar', 'virus', 'allcaps', 'covid', 'allcaps', 'number', 'ayo', 'daftar', 'kartu', 'allcaps', 'pra', 'kerja', 'allcaps', 'mudah', 'koq', 'repeated', 'daftar', 'website']"
499,6.0,0.9583,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['satu', 'lawan', 'sebar', 'virus', 'corona', 'covid', 'number', 'jaga', 'sehat', 'jauh', 'kerumun', 'cuci', 'tangan', 'pakai', 'sabun', 'repeated', 'infolingga', 'repeated', 'cuci_tangan', 'cuci_tangan']"
500,4.0,0.965,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['kapolrestabes', 'semarang', 'forkopimda', 'kota', 'semarang', 'himbauan', 'masyarakat', 'pakai', 'masker', 'jaga', 'bersih', 'rumah', 'putus', 'mata', 'rantai', 'sebar', 'virus', 'corona', 'covid', 'number', 'repeated', 'mata_rantai', 'mata_rantai', 'mata_rantai']"
501,1.0,0.9416,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['nyai', 'baik', 'gitu', 'hibur', 'rumah', 'sehat', 'nyai', 'moga', 'alloh', 'lindung', 'jauh', 'wabah', 'covid', 'moga']"
502,4.0,0.9453,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['kenal', 'lelah', 'tim', 'gugus', 'tugas', 'covid', 'number', 'semprot', 'mukim', 'padat', 'duduk', 'belawan', 'gugus_tugas', 'gugus_tugas', 'gugus_tugas']"
503,7.0,0.9735,"covid, repeated, number, allcaps, positif, cari, kiamat, orang, perintah, manusia","['bahan', 'kempen', 'mahu', 'padam', 'da', 'repeated', 'release', 'padam', 'repeated', 'release', 'padam', 'repeated', 'dok', 'dendiam', 'wat', 'keje', 'orang', 'tingkat', 'nampak', 'takyah', 'wat', 'kempen', 'langsung', 'save', 'wang', 'raja', 'masuk', 'tabung', 'covid', 'number', 'tolong', 'rakyat']"
504,0.0,0.9619,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['surabaya', 'babinsa', 'koramil', 'tenggilis', 'mejoyo', 'upaya', 'laksana', 'sosialisasi', 'warga', 'masyarakat', 'redam', 'wabah', 'virus', 'corona', 'covid', 'number', 'kali', 'serma', 'siswono', 'sertu', 'supri', 'warsoyo']"
505,5.0,0.9562,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['pakai', 'masker', 'main', 'yoyo', 'mu', 'potret', 'sd', 'vita', 'school', 'pandemi', 'covid', 'number', 'budaya', 'masker', 'contact', 'us', 'cak', 'dolan', 'twitter']"
506,6.0,0.9326,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['cegah', 'virus', 'corona', 'covid', 'number', 'srikandi', 'polres', 'pasuruan', 'bagi', 'masker', 'masyarakat', 'repeated']"
507,1.0,0.9735,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['allcaps', 'allcaps', 'rezim', 'jkw', 'allcaps', 'remeh', 'allcaps', 'allcaps', 'tutup', 'allcaps', 'aman', 'turis', 'proyek', 'investor', 'allcaps', 'tka', 'allcaps', 'negara', 'cina', 'komunis', 'indonesia', 'allcaps', 'serang', 'allcaps', 'kuasa', 'gagap', 'cegah', 'kendali', 'lindung', 'rakyat', 'tular', 'mati']"
508,5.0,0.965,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['indonesia', 'tegas', 'allcaps', 'dk', 'pbb', 'allcaps', 'tunjuk', 'satu', 'atas', 'dampak', 'allcaps', 'covid', 'allcaps', 'number', 'thdp', 'damai', 'aman', 'internasional', 'kerja', 'global', 'solidaritas', 'hindar', 'diskriminasi', 'stigmatisasi']"
509,5.0,0.8749,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['covid', 'syaitan', 'yela', 'kena', 'kurung', 'kurung']"
510,3.0,0.9717,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['allcaps', 'dprd', 'allcaps', 'kota', 'makassar', 'info', 'dprd', 'kotamakassar', 'perintah', 'makassar', 'realokasi', 'refocusing', 'anggar', 'number', 'milyar', 'tangan', 'dampak', 'pandemi', 'allcaps', 'covid', 'allcaps', 'number', 'kota', 'makassar', 'ketua', 'allcaps', 'dprd', 'allcaps', 'kota', 'makassar']"
511,5.0,0.8905,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['covid', 'number', 'buka', 'jalan', 'damai', 'israel', 'palestina']"
512,0.0,0.9562,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['cegah', 'virus', 'covid', 'number', 'rajin', 'mandi', 'asa', 'tinggal', 'jg', 'rajin', 'mandi', 'bangun', 'tidur', 'sih', 'torus', 'mandi', 'lupa', 'gosok', 'biji']"
513,7.0,0.9539,"covid, repeated, number, allcaps, positif, cari, kiamat, orang, perintah, manusia","['covid', 'number', 'pergi', 'repeated', 'insyaallah', 'rana', 'manusia', 'rukuk', 'allah', 'bayi', 'susu', 'burung', 'haiwan', 'cari', 'makan', 'hidup', 'ustaz', 'fawwaz']"
514,0.0,0.9027,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['maret', 'gegara', 'sih', 'covid', 'batal', 'play', 'list', 'film']"
515,4.0,0.9326,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['siap', 'rp', 'miliar', 'tangan', 'covid', 'number', 'allcaps', 'dprd', 'allcaps', 'pemkot', 'cilegon', 'transparan']"
516,5.0,0.7491,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['kaur', 'perintah', 'desa', 'hidayat', 'himbau', 'warga', 'tunda', 'mudik', 'cegah', 'covid', 'number']"
517,4.0,0.927,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['cepat', 'pergi', 'corona', 'covid', 'number', 'rindu', 'aktivitas', 'pergi', 'mana', 'ngerasa', 'cemas']"
518,0.0,0.9539,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['santai', 'banget', 'tmnnya', 'asyik', 'materi', 'nya', 'rumit', 'bayang', 'iya', 'number', 'number', 'materi', 'nyebelin', 'naudzubillah', 'semester', 'grgr', 'covid', 'wkwk']"
519,0.0,0.8748,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['cuba', 'kena', 'covid', 'number', 'tau', 'kebal']"
520,0.0,0.8749,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['tingkat', 'mati', 'rokok', 'covid', 'number', 'kali']"
521,4.0,0.927,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['moga', 'wabah', 'covid', 'number', 'cepat', 'biar', 'hidup', 'jalan', 'normal', 'jaga', 'sehat']"
522,7.0,0.9123,"covid, repeated, number, allcaps, positif, cari, kiamat, orang, perintah, manusia","['pulak', 'kena', 'covid', 'huhu', 'oh', 'lupa', 'muda', 'tiada', 'sakit']"
523,3.0,0.9539,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['orang', 'nolak', 'jenazah', 'allcaps', 'pdp', 'allcaps', 'positif', 'covid', 'number', 'otak', 'goblobanget', 'hati', 'wtf', 'benci', 'banget', 'kasihan', 'bego', 'elongated']"
524,7.0,0.8248,"covid, repeated, number, allcaps, positif, cari, kiamat, orang, perintah, manusia","['temas', 'yok', 'covid', 'var']"
525,4.0,0.6084,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['roger', 'roger', 'labuanfm', 'pagi', 'allcaps', 'mej', 'allcaps', 'zico', 'bin', 'sual', 'pegawai', 'tahan', 'awam', 'daerah', 'wp', 'labu', 'topik', 'tugas', 'cabar', 'allcaps', 'apm', 'allcaps', 'tangan', 'covid', 'number', 'number', 'pagi']"
526,1.0,0.9485,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['iya', 'nak', 'raya', 'fikir', 'langsung', 'kot', 'aduh', 'elongated', 'harap', 'cepat', 'sembuh', 'covid', 'number', 'cepat', 'cepat', 'hilang']"
527,3.0,0.9602,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['infeksi', 'coviddiberikan', 'stempel', 'allcaps', 'rfid', 'allcaps', 'diskriminasi', 'potensi', 'kambuh', 'repeated', 'kesehatanatau', 'paru', 'rusak', 'repeated', 'kayak', 'bourne', 'identity', 'chipstay', 'censored', 'safe', 'healthy']"
528,6.0,0.9203,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['makasih', 'iya', 'moga', 'allcaps', 'wni', 'allcaps', 'cerdas', 'sikap', 'covid', 'number']"
529,0.0,0.965,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['number', 'suruh', 'covid', 'number', 'pergi', 'number', 'pakai', 'minim', 'ketat', 'umbar', 'aurat', 'covid', 'number', 'didik', 'pakai', 'serba', 'tutup', 'agama', 'samawi', 'mulia', 'pakai', 'rapih', 'bersih', 'sopan']"
530,6.0,0.9539,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['new', 'post', 'bahas', 'kesiap', 'daerah', 'tangan', 'covid', 'number', 'walikota', 'parepare', 'vidcon', 'kemendagri', 'has', 'been', 'published', 'on', 'baca', 'pesan']"
531,6.0,0.8539,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['hadiah', 'kau', 'sangkut', 'covid', 'number']"
532,6.0,0.9326,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['sinar', 'mas', 'land', 'all', 'out', 'bantu', 'rang', 'virus', 'corona', 'covid', 'number', 'indonesia']"
533,2.0,0.8905,"covid, number, repeated, jaga_jarak, kena, tangan, jaga, takut, orang, salam","['operasi', 'selamat', 'tinombala', 'covid', 'number', 'polres', 'touna']"
534,0.0,0.9027,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['covid', 'to', 'huni', 'bumi', 'ngapasi', 'allcaps', 'zhombong', 'allcaps']"
535,3.0,0.9204,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['malminga', 'kah', 'repeated', 'rumah', 'bahaya', 'covid', 'number', 'waspada', 'ok', 'repeated']"
536,4.0,0.9027,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['erupsi', 'anak', 'krakatau', 'hasil', 'geser', 'perhati', 'covid', 'number']"
537,3.0,0.9326,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['rawan', 'kec', 'pajarakan', 'kab', 'probolinggo', 'prov', 'jatim', 'cegah', 'sebar', 'wabah', 'covid', 'number']"
538,4.0,0.4881,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['bau', 'nya', 'tingkat', 'positif', 'covid', 'number', 'batas', 'sosial']"
539,6.0,0.9204,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['mari', 'putus', 'rantai', 'covid', 'number', 'pyhsical', 'distancing', 'social', 'distancing', 'repeated']"
540,5.0,0.9326,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['malam', 'admin', 'nanya', 'kirim', 'barang', 'negeri', 'allcaps', 'usa', 'allcaps', 'kait', 'covid', 'number']"
541,4.0,0.9485,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['patut', 'gar', 'bawah', 'tambah', 'infeksi', 'covid', 'number', 'repeated', 'banding', 'sembuh', 'wafat', 'wafat', 'repeated', 'adsemoga', 'demi', 'cepat']"
542,5.0,0.9326,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['adik', 'rs', 'repeated', 'gatau', 'jaga', 'tau', 'jaga', 'biar', 'rawan', 'covid', 'thankyou', 'ci']"
543,6.0,0.9326,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['mari', 'ki', 'polri', 'jaga', 'kamtibmas', 'cegah', 'sebar', 'virus', 'covid', 'number', 'rumah', 'mudik']"
544,3.0,0.9453,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['polisi', 'aman', 'orang', 'duga', 'provokator', 'tolak', 'makam', 'jenazah', 'awat', 'korban', 'covid', 'number', 'makam_jenazah', 'makam_jenazah', 'makam_jenazah']"
545,0.0,0.9203,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['poin', 'gampang', 'covid', 'februari', 'gemes', 'jg', 'smua', 'jg', 'lihat', 'waras']"
546,4.0,0.9027,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['jom', 'nak', 'pergi', 'covid', 'covid', 'duduk', 'rumah', 'moha']"
547,4.0,0.9452,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['pimpin', 'daerah', 'gubernur', 'walikota', 'bupati', 'ketua', 'gugus', 'tugas', 'tanggulang', 'covid', 'number', 'daerah', 'gugus_tugas', 'gugus_tugas', 'gugus_tugas']"
548,5.0,0.9452,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['warga', 'kuningan', 'rujuk', 'rs', 'darurat', 'covid', 'number', 'citra', 'jemput', 'tugas', 'pakai', 'allcaps', 'apd', 'allcaps', 'lengkap']"
549,3.0,0.8248,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['tolak', 'jenazah', 'covid', 'number']"
550,4.0,0.9452,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['pasien', 'positif', 'allcaps', 'covid', 'allcaps', 'number', 'tambah', 'number', 'orang', 'total', 'positif', 'corona', 'jambi', 'number', 'orang']"
551,2.0,0.708,"covid, number, repeated, jaga_jarak, kena, tangan, jaga, takut, orang, salam","['covid', 'teknesi']"
552,3.0,0.927,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['hai', 'cay', 'hubung', 'terbang', 'terbang', 'dampak', 'covid', 'number', 'temu', 'informasi', 'refund']"
553,5.0,0.9326,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['allcaps', 'fkg', 'allcaps', 'unhas', 'gelar', 'pekan', 'solidaritas', 'peduli', 'allcaps', 'covid', 'allcaps', 'number']"
554,1.0,0.9026,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['sebar', 'allcaps', 'covid', 'allcaps', 'number', 'makassar', 'trasmisi', 'lokal']"
555,0.0,0.9619,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['alergi', 'efek', 'bersin', 'batuk', 'mata', 'air', 'pandemi', 'allcaps', 'covid', 'allcaps', 'number', 'alergi', 'kumat', 'usaha', 'nahan', 'batuk', 'bersin', 'belanja', 'butuh', 'kost', 'luar', 'ruang']"
556,7.0,0.9124,"covid, repeated, number, allcaps, positif, cari, kiamat, orang, perintah, manusia","['haiya', 'nk', 'gi', 'shensiong', 'takut', 'pasal', 'covid', 'pasal', 'hais']"
557,0.0,0.9602,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['nggak', 'sih', 'stop', 'share', 'hall', 'takut', 'muak', 'allcaps', 'covid', 'allcaps', 'number', 'it', 'okey', 'informasi', 'jujur', 'orang', 'parnoan', 'kaya', 'ganggu', 'banget', 'pikir']"
558,4.0,0.9416,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['update', 'covid', 'number', 'tambah', 'number', 'positif', 'total', 'number', 'achmad', 'yurianto', 'tambah', 'tanda', 'warga', 'disiplin']"
559,0.0,0.9734,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['beli', 'tong', 'besarisi', 'sepenuh', 'covid', 'number', 'beransur', 'pulih', 'confirmed', 'harga', 'minyak', 'repeated', 'by', 'that', 'time', 'duit', 'hang', 'selamat', 'while', 'orang', 'huha', 'huha', 'bising', 'harga', 'minyak', 'lambung', 'salah', 'raja', 'kawal', 'naik', 'harga', 'believe']"
560,5.0,0.9663,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['cocok', 'malakin', 'mas', 'covid', 'pergi', 'beli', 'kado', 'barusan', 'ajak', 'indoapril', 'nyuruh', 'ambil', 'asa', 'tantang', 'so', 'iya', 'ambil', 'cocok', 'total', 'nominal', 'sesuai', 'palakin', 'allcaps', 'wkwkwkwkwk', 'allcaps']"
561,5.0,0.9485,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['lebay', 'sih', 'covid', 'number', 'tinggal', 'keluarga', 'apart', 'kena', 'mati', 'iya', 'papa', 'mati', 'sendiri', 'keluarga', 'mati', 'susah']"
562,6.0,0.9326,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['update', 'sebar', 'covid', 'number', 'kabupaten', 'bojonegoro', 'tanggal', 'date', 'number', 'allcaps', 'wib', 'allcaps']"
563,3.0,0.9204,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['tangan', 'covid', 'number', 'warga', 'kukuh', 'tolak', 'islamic', 'center', 'kotabumi', 'isolasi']"
564,0.0,0.8247,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['covid', 'number', 'dtg', 'rumah']"
565,6.0,0.9769,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['marah', 'allcaps', 'lbp', 'allcaps', 'wabah', 'covid', 'number', 'allcaps', 'lbp', 'allcaps', 'kes', 'serius', 'lawan', 'wabah', 'covid', 'number', 'bela', 'datang', 'allcaps', 'tka', 'allcaps', 'china', 'atur', 'larang', 'jg', 'kes', 'paksa', 'pindah', 'allcaps', 'ikn', 'allcaps', 'negara', 'kumpul', 'sumbang', 'tuk', 'covid', 'number']"
566,0.0,0.8389,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['min', 'pamnya', 'mati', 'iya', 'kp', 'setu', 'bintara', 'jaya', 'rt', 'rw', 'number', 'covid', 'number', 'gin', 'pakai', 'mati', 'coba', 'cuci', 'tangan', 'air', 'mati', 'cuci_tangan', 'cuci_tangan']"
567,4.0,0.9583,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['jokowi', 'suka', 'suka', 'bagi', 'rejeki', 'masyarakat', 'butuh', 'gausah', 'menprovokasi', 'akan', 'gasuka', 'yagausah', 'komentar', 'diam', 'mmperkeruh', 'suasana', 'afau', 'rawan', 'covid', 'repeated']"
568,4.0,0.927,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['allcaps', 'pmi', 'allcaps', 'muba', 'buka', 'daftar', 'rawan', 'manusia', 'hadap', 'covid', 'number']"
569,5.0,0.6076,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['selamat', 'indonesia', 'kena', 'masker', 'rumah', 'mari', 'jadi', 'masker', 'butuh', 'pokok', 'moga', 'pandemi', 'virus', 'corona', 'covid', 'number']"
570,3.0,0.9027,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['moga', 'secepetnya', 'virus', 'covid', 'number', 'ngilang', 'beraktifitas', 'normal']"
571,6.0,0.9374,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['ngelebelin', 'status', 'serta', 'test', 'covid', 'merah', 'isi', 'pdi', 'biru', 'isi', 'demokrat', 'pan', 'iya']"
572,5.0,0.9602,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['lama', 'eneg', 'lihat', 'driver', 'ojol', 'ngelunjak', 'emang', 'dampak', 'covid', 'number', 'tau', 'repeated', 'ne', 'menteri', 'urus', 'diver', 'nya', 'koq', 'negara', 'jadi', 'repot']"
573,4.0,0.9769,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['susah', 'gila', 'nak', 'control', 'orang', 'tua', 'nie', 'repeated', 'hari', 'riso', 'jea', 'repeated', 'lg', 'nak', 'repeated', 'control', 'effect', 'orang', 'repeated', 'stress', 'elongated', 'nya', 'repeated', 'dahla', 'kena', 'wfh', 'repeated', 'iya', 'allah', 'cepat', 'la', 'reda', 'covid', 'nie', 'moga', 'elongated', 'repeated']"
574,0.0,0.9687,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['cocok', 'sakit', 'bilang', 'teman', 'gin', 'teman', 'repeated', 'tolong', 'infusin', 'teman', 'sakit', 'bawain', 'obat', 'iya', 'nah', 'repeated', 'ngomong', 'pusing', 'flu', 'batuk', 'panas', 'sesak', 'nafas', 'takut', 'nak', 'covid', 'number']"
575,5.0,0.9325,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['allcaps', 'garis', 'allcaps', 'panduanamalan', 'langkah', 'cegah', 'allcaps', 'covid', 'allcaps', 'number', 'industri', 'bina']"
576,1.0,0.5641,"allcaps, covid, number, tenaga_medis, iya, cegah, repeated, sebar, moga, medis","['dampak', 'covid', 'number', 'ketua', 'allcaps', 'ampi', 'allcaps', 'palas', 'bagi', 'sembako', 'abang', 'becak']"
577,4.0,0.9602,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['bohong', 'berat', 'covid', 'number', 'mana', 'kalimat', 'statement', 'pakar', 'menciderai', 'profesi', 'acara', 'pantesan', 'kalah', 'gugat', 'pilpres', 'heran', 'sih', 'twit', 'gambar', 'kualitas', 'bye']"
578,4.0,0.9374,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['banget', 'optimis', 'cepat', 'pulih', 'kenyataanya', 'melow', 'repeated', 'jg', 'sih', 'covid', 'baik', 'dentum', 'yaallah']"
