Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
84,6.0,0.927,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['serba', 'salah', 'mas', 'nggak', 'konpers', 'nggak', 'transparansi', 'tanggulang', 'pandemi', 'covid', 'number']"
85,0.0,0.5466,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['sehat', 'iya', 'ustadz', 'repeated', 'moga', 'allah', 'allcaps', 'swt', 'allcaps', 'lindung', 'keluarga', 'fakta', 'ustadz', 'repeated', 'dana', 'didik', 'pakai', 'tangan', 'covid', 'number', 'repeated', 'jelas', 'dana', 'sok', 'pindah', 'kota', 'repeated', 'miris', 'elongated']"
86,5.0,0.9374,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['allcaps', 'baznas', 'allcaps', 'buka', 'donasi', 'covid', 'number', 'smart', 'shadaqah', 'allcaps', 'bni', 'allcaps', 'syariah']"
87,5.0,0.927,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['bayang', 'allcaps', 'ijazah', 'allcaps', 'bsk', 'lambang', 'allcaps', 'covid', 'allcaps', 'number', 'nya']"
88,7.0,0.9204,"covid, repeated, number, allcaps, positif, cari, kiamat, orang, perintah, manusia","['mangtanku', 'besok', 'akad', 'ciyee', 'meni', 'tengah', 'pandemi', 'covid', 'number', 'ciyee']"
89,2.0,0.6937,"covid, number, repeated, jaga_jarak, kena, tangan, jaga, takut, orang, salam","['wujud', 'cinta', 'kasih', 'duka', 'warga', 'malu', 'tinggal', 'salah', 'putra', 'baik', 'malu', 'kaka', 'cinta', 'sadar', 'virus', 'covid', 'number', 'dimanadan', 'ancam', 'takut', 'kalah', 'orang', 'duka', 'mohon', 'bully']"
90,6.0,0.927,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['wow', 'repeated', 'tanggulang', 'covid', 'wisma', 'atlit', 'butuh', 'rawan', 'yu', 'elongated', 'sayang']"
91,6.0,0.9374,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['sehat', 'mental', 'baca', 'berita', 'covid', 'hari', 'apa', 'baca', 'hirau', 'skip', 'untk', 'esok', 'lusa']"
92,0.0,0.9562,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['covid', 'number', 'milik', 'arti', 'co', 'corona', 'vi', 'virus', 'disease', 'sakit', 'angka', 'number', 'number', 'wakil', 'moga', 'puas', 'jwban', 'halo', 'luna']"
93,4.0,0.9416,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['jalan', 'bantu', 'kuasa', 'menanggani', 'tular', 'wabak', 'covid', 'number', 'ft', 'number', 'number', 'ft', 'number', 'number']"
94,0.0,0.9562,"number, covid, allcaps, repeated, virus, corona, iya, indonesia, cegah, papua_barat","['contoh', 'kondisi', 'terap', 'alat', 'kam', 'apotek', 'meminimalisir', 'tular', 'allcaps', 'covid', 'allcaps', 'number', 'kondisi', 'apotek', 'silah', 'share', 'tag', 'medsos', 'hashtag']"
95,5.0,0.9676,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['am', 'mrs', 'lestari', 'abyasa', 'balikpapan', 'terima', 'kasih', 'allcaps', 'rika', 'anderson', 'pinjam', 'allcaps', 'pinjam', 'jamin', 'number', 'juta', 'pandemi', 'allcaps', 'covid', 'allcaps', 'number', 'hubung', 'wa', 'phone', 'email', 'number']"
96,4.0,0.927,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['tunggu', 'wabah', 'allcaps', 'covid', 'allcaps', 'number', 'reda', 'sabar', 'iya', 'selamat', 'orang']"
97,4.0,0.8905,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['koruptor', 'jahat', 'bebas', 'alas', 'pandemi', 'covid', 'number']"
98,6.0,0.9698,"number, covid, allcaps, repeated, virus, sebar, cegah, jaga, corona, cuci_tangan","['number', 'angkuh', 'sombong', 'serba', 'bukankh', 'virus', 'corona', 'tingkat', 'tmpak', 'mata', 'tlah', 'mndidik', 'mncegahnya', 'jka', 'covid', 'number', 'dtang', 'mmpir', 'covid', 'number', 'mngenal', 'status', 'sosial', 'miskin', 'kaya', 'tua', 'muda', 'pmbesar']"
99,4.0,0.8905,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['number', 'nyata', 'covid', 'number', 'klaster', 'umrah', 'sidrap']"
100,3.0,0.9602,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['gubernur', 'coba', 'diframing', 'pusat', 'penangganan', 'covid', 'number', 'framing', 'menenggelankan', 'popularitas', 'gubernur', 'anggap', 'lawan', 'politik', 'mati', 'mati', 'juang', 'lawan', 'covid', 'number', 'daerah']"
101,5.0,0.9124,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['jenazah', 'covid', 'tolak', 'awat', 'tinggal', 'grgr', 'papar', 'covid', 'number']"
102,3.0,0.8749,"number, covid, allcaps, repeated, orang, rumah, iya, tangan, moga, virus","['pandemi', 'corona', 'ancam', 'nasib', 'media', 'lokal']"
103,4.0,0.9123,"number, allcaps, covid, repeated, gugus_tugas, orang, moga, wabah, masyarakat, mata_rantai","['allcaps', 'covid', 'allcaps', 'number', 'angka', 'mati', 'hampir', 'number', 'dunia']"
104,5.0,0.9602,"allcaps, covid, number, repeated, moga, perintah, indonesia, iya, pandemi, bantu","['level', 'presiden', 'sedia', 'dana', 'spy', 'rakyat', 'kena', 'dampak', 'covid', 'rumah', 'makan', 'layak', 'koordinasi', 'pusat', 'pelosok', 'jalur', 'bagi', 'jalan', 'mah', 'kelas', 'cere']"
